end_period_ts,open_interest,volume,price.close,price.close_dollars,price.high,price.high_dollars,price.low,price.low_dollars,price.max,price.max_dollars,price.mean,price.mean_dollars,price.min,price.min_dollars,price.open,price.open_dollars,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,market
1761969600,135869,27487556,59.0,0.5900,59.0,0.5900,56.0,0.5600,,,58.0,0.5868,,,58.0,0.5800,58.0,0.5800,59,0.5900,59,0.5900,58,0.5800,58,0.5800,58,0.5800,58,0.5800,56,0.5600,56,0.5600,KXNFLGAME-25NOV03ARIDAL-DAL
1762056000,200221,27487556,62.0,0.6200,62.0,0.6200,58.0,0.5800,,,61.0,0.6138,,,59.0,0.5900,59.0,0.5900,62,0.6200,62,0.6200,59,0.5900,59,0.5900,61,0.6100,61,0.6100,58,0.5800,58,0.5800,KXNFLGAME-25NOV03ARIDAL-DAL
1762142400,1057654,27487556,62.0,0.6200,62.0,0.6200,62.0,0.6200,,,62.0,0.6200,,,62.0,0.6200,62.0,0.6200,62,0.6200,62,0.6200,62,0.6200,62,0.6200,60,0.6000,60,0.6000,60,0.6000,60,0.6000,KXNFLGAME-25NOV03ARIDAL-DAL
1761710400,2794,14090904,42.0,0.4200,42.0,0.4200,41.0,0.4100,,,41.0,0.4156,,,41.0,0.4100,40.0,0.4000,42,0.4200,42,0.4200,41,0.4100,41,0.4100,41,0.4100,41,0.4100,39,0.3900,39,0.3900,KXNFLGAME-25NOV03ARIDAL-ARI
1761796800,5549,14090904,43.0,0.4300,43.0,0.4300,41.0,0.4100,,,42.0,0.4266,,,42.0,0.4200,42.0,0.4200,43,0.4300,43,0.4300,42,0.4200,42,0.4200,42,0.4200,42,0.4200,41,0.4100,41,0.4100,KXNFLGAME-25NOV03ARIDAL-ARI
1761883200,10244,14090904,42.0,0.4200,44.0,0.4400,42.0,0.4200,,,43.0,0.4357,,,43.0,0.4300,43.0,0.4300,44,0.4400,44,0.4400,43,0.4300,43,0.4300,42,0.4200,43,0.4300,41,0.4100,42,0.4200,KXNFLGAME-25NOV03ARIDAL-ARI
1761969600,12725,14090904,40.0,0.4000,44.0,0.4400,40.0,0.4000,,,43.0,0.4332,,,44.0,0.4400,42.0,0.4200,41,0.4100,44,0.4400,41,0.4100,44,0.4400,40,0.4000,43,0.4300,40,0.4000,42,0.4200,KXNFLGAME-25NOV03ARIDAL-ARI
1762056000,16082,14090904,40.0,0.4000,42.0,0.4200,39.0,0.3900,,,40.0,0.4060,,,41.0,0.4100,40.0,0.4000,40,0.4000,42,0.4200,40,0.4000,41,0.4100,39,0.3900,41,0.4100,39,0.3900,40,0.4000,KXNFLGAME-25NOV03ARIDAL-ARI
1762142400,105360,14090904,,,,,,,,,,,,,,,40.0,0.4000,40,0.4000,40,0.4000,40,0.4000,40,0.4000,38,0.3800,38,0.3800,38,0.3800,38,0.3800,KXNFLGAME-25NOV03ARIDAL-ARI
1761537600,15008,18672082,56.0,0.5600,57.0,0.5700,54.0,0.5400,,,56.0,0.5610,,,55.0,0.5500,56.0,0.5600,56,0.5600,58,0.5800,54,0.5400,56,0.5600,54,0.5400,56,0.5600,52,0.5200,52,0.5200,KXNFLGAME-25NOV02KCBUF-KC
1761624000,37353,18672082,55.0,0.5500,56.0,0.5600,53.0,0.5300,,,55.0,0.5543,,,56.0,0.5600,56.0,0.5600,55,0.5500,56,0.5600,53,0.5300,56,0.5600,53,0.5300,55,0.5500,52,0.5200,54,0.5400,KXNFLGAME-25NOV02KCBUF-KC
1761710400,55276,18672082,54.0,0.5400,55.0,0.5500,53.0,0.5300,,,54.0,0.5492,,,55.0,0.5500,55.0,0.5500,55,0.5500,55,0.5500,54,0.5400,55,0.5500,54,0.5400,54,0.5400,52,0.5200,53,0.5300,KXNFLGAME-25NOV02KCBUF-KC
1761796800,91707,18672082,55.0,0.5500,55.0,0.5500,53.0,0.5300,,,54.0,0.5495,,,55.0,0.5500,54.0,0.5400,55,0.5500,55,0.5500,54,0.5400,55,0.5500,53,0.5300,54,0.5400,53,0.5300,54,0.5400,KXNFLGAME-25NOV02KCBUF-KC
1761883200,130837,18672082,55.0,0.5500,55.0,0.5500,53.0,0.5300,,,54.0,0.5497,,,55.0,0.5500,55.0,0.5500,55,0.5500,55,0.5500,54,0.5400,55,0.5500,54,0.5400,54,0.5400,53,0.5300,53,0.5300,KXNFLGAME-25NOV02KCBUF-KC
1761969600,215821,18672082,55.0,0.5500,55.0,0.5500,53.0,0.5300,,,54.0,0.5495,,,55.0,0.5500,55.0,0.5500,55,0.5500,55,0.5500,54,0.5400,55,0.5500,54,0.5400,54,0.5400,53,0.5300,54,0.5400,KXNFLGAME-25NOV02KCBUF-KC
1762056000,276989,18672082,55.0,0.5500,55.0,0.5500,54.0,0.5400,,,54.0,0.5494,,,55.0,0.5500,55.0,0.5500,55,0.5500,55,0.5500,55,0.5500,55,0.5500,54,0.5400,54,0.5400,54,0.5400,54,0.5400,KXNFLGAME-25NOV02KCBUF-KC
1761537600,10420,13763433,47.0,0.4700,50.0,0.5000,46.0,0.4600,,,47.0,0.4771,,,48.0,0.4800,48.0,0.4800,47,0.4700,54,0.5400,47,0.4700,48,0.4800,46,0.4600,46,0.4600,46,0.4600,46,0.4600,KXNFLGAME-25NOV02KCBUF-BUF
1761624000,27459,13763433,49.0,0.4900,49.0,0.4900,45.0,0.4500,,,48.0,0.4808,,,47.0,0.4700,47.0,0.4700,49,0.4900,49,0.4900,46,0.4600,47,0.4700,48,0.4800,48,0.4800,44,0.4400,46,0.4600,KXNFLGAME-25NOV02KCBUF-BUF
1761710400,52073,13763433,47.0,0.4700,49.0,0.4900,46.0,0.4600,,,47.0,0.4710,,,48.0,0.4800,49.0,0.4900,47,0.4700,49,0.4900,47,0.4700,49,0.4900,46,0.4600,48,0.4800,46,0.4600,48,0.4800,KXNFLGAME-25NOV02KCBUF-BUF
1761796800,70390,13763433,47.0,0.4700,47.0,0.4700,45.0,0.4500,,,46.0,0.4658,,,47.0,0.4700,47.0,0.4700,47,0.4700,47,0.4700,46,0.4600,47,0.4700,46,0.4600,46,0.4600,45,0.4500,46,0.4600,KXNFLGAME-25NOV02KCBUF-BUF
1761883200,107327,13763433,47.0,0.4700,47.0,0.4700,46.0,0.4600,,,46.0,0.4698,,,47.0,0.4700,47.0,0.4700,47,0.4700,47,0.4700,47,0.4700,47,0.4700,46,0.4600,46,0.4600,46,0.4600,46,0.4600,KXNFLGAME-25NOV02KCBUF-BUF
1761969600,134042,13763433,47.0,0.4700,47.0,0.4700,46.0,0.4600,,,46.0,0.4692,,,47.0,0.4700,47.0,0.4700,47,0.4700,47,0.4700,47,0.4700,47,0.4700,46,0.4600,46,0.4600,46,0.4600,46,0.4600,KXNFLGAME-25NOV02KCBUF-BUF
1762056000,183585,13763433,47.0,0.4700,47.0,0.4700,46.0,0.4600,,,46.0,0.4693,,,47.0,0.4700,47.0,0.4700,47,0.4700,47,0.4700,47,0.4700,47,0.4700,46,0.4600,46,0.4600,46,0.4600,46,0.4600,KXNFLGAME-25NOV02KCBUF-BUF
1761537600,2916,4485202,12.0,0.1200,20.0,0.2000,10.0,0.1000,,,13.0,0.1383,,,16.0,0.1600,16.0,0.1600,11,0.1100,20,0.2000,11,0.1100,16,0.1600,10,0.1000,15,0.1500,8,0.0800,12,0.1200,KXNFLGAME-25NOV02NOLA-NO
1761624000,9822,4485202,11.0,0.1100,12.0,0.1200,9.0,0.0900,,,11.0,0.1147,,,11.0,0.1100,12.0,0.1200,12,0.1200,12,0.1200,10,0.1000,11,0.1100,11,0.1100,11,0.1100,9,0.0900,10,0.1000,KXNFLGAME-25NOV02NOLA-NO
1761710400,20586,4485202,10.0,0.1000,12.0,0.1200,10.0,0.1000,,,11.0,0.1177,,,12.0,0.1200,11.0,0.1100,11,0.1100,12,0.1200,11,0.1100,12,0.1200,10,0.1000,11,0.1100,10,0.1000,11,0.1100,KXNFLGAME-25NOV02NOLA-NO
