end_period_ts,open_interest,volume,price.close,price.high,price.low,price.max,price.mean,price.min,price.open,price.previous,price.previous_dollars,yes_ask.close,yes_ask.close_dollars,yes_ask.high,yes_ask.high_dollars,yes_ask.low,yes_ask.low_dollars,yes_ask.open,yes_ask.open_dollars,yes_bid.close,yes_bid.close_dollars,yes_bid.high,yes_bid.high_dollars,yes_bid.low,yes_bid.low_dollars,yes_bid.open,yes_bid.open_dollars,price.close_dollars,price.high_dollars,price.low_dollars,price.mean_dollars,price.open_dollars,market
1764000000,1280,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764003600,1375,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764007200,1643,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764010800,1689,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764014400,2650,3981821,19.0,19.0,17.0,,18.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1700,0.1890,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764018000,2874,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764021600,3025,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764025200,3037,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
1764028800,3037,3981821,,,,,,,,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,,,,,,KXNFLGAME-25NOV30LVLAC-LV
1764032400,3142,3981821,19.0,19.0,19.0,,19.0,,19.0,19.0,0.1900,19,0.1900,19,0.1900,19,0.1900,19,0.1900,17,0.1700,17,0.1700,17,0.1700,17,0.1700,0.1900,0.1900,0.1900,0.1900,0.1900,KXNFLGAME-25NOV30LVLAC-LV
